Service,Time period,Consumption,Consumption unit,Approximate charge,Meter serial number,Register serial number,Counter time frame
SRV001188,Thu Feb 08 2024,7,CF,0,04011919,,LOW FLOW
SRV001188,Fri Feb 09 2024,11,CF,0,04011919,,LOW FLOW
SRV001188,Sat Feb 10 2024,12,CF,0,04011919,,LOW FLOW
SRV001188,Sun Feb 11 2024,9,CF,0,04011919,,LOW FLOW
SRV001188,Mon Feb 12 2024,10,CF,0,04011919,,LOW FLOW
SRV001188,Tue Feb 13 2024,8,CF,0,04011919,,LOW FLOW
SRV001188,Wed Feb 14 2024,12,CF,0,04011919,,LOW FLOW
SRV001188,Thu Feb 15 2024,11,CF,0,04011919,,LOW FLOW
SRV001188,Fri Feb 16 2024,20,CF,0,04011919,,LOW FLOW
SRV001188,Sat Feb 17 2024,7,CF,0,04011919,,LOW FLOW
SRV001188,Sun Feb 18 2024,4,CF,0,04011919,,LOW FLOW
SRV001188,Mon Feb 19 2024,9,CF,0,04011919,,LOW FLOW
SRV001188,Tue Feb 20 2024,19,CF,0,04011919,,LOW FLOW
SRV001188,Wed Feb 21 2024,12,CF,0,04011919,,LOW FLOW
SRV001188,Thu Feb 22 2024,10,CF,0,04011919,,LOW FLOW
SRV001188,Fri Feb 23 2024,25,CF,0,04011919,,LOW FLOW
SRV001188,Sat Feb 24 2024,7,CF,0,04011919,,LOW FLOW
SRV001188,Sun Feb 25 2024,29,CF,0,04011919,,LOW FLOW
SRV001188,Mon Feb 26 2024,23,CF,0,04011919,,LOW FLOW
SRV001188,Tue Feb 27 2024,10,CF,0,04011919,,LOW FLOW
SRV001188,Wed Feb 28 2024,10,CF,0,04011919,,LOW FLOW
SRV001188,Thu Feb 29 2024,19,CF,0,04011919,,LOW FLOW
SRV001188,Fri Mar 01 2024,10,CF,0,04011919,,LOW FLOW
SRV001188,Sat Mar 02 2024,6,CF,0,04011919,,LOW FLOW
SRV001188,Sun Mar 03 2024,12,CF,0,04011919,,LOW FLOW
SRV001188,Mon Mar 04 2024,12,CF,0,04011919,,LOW FLOW
SRV001188,Tue Mar 05 2024,18,CF,0,04011919,,LOW FLOW
SRV001188,Wed Mar 06 2024,10,CF,0,04011919,,LOW FLOW
SRV001188,Thu Mar 07 2024,14,CF,0,04011919,,LOW FLOW
SRV001188,Fri Mar 08 2024,3,CF,0,04011919,,LOW FLOW
SRV001188,Sat Mar 09 2024,7,CF,0,04011919,,LOW FLOW
SRV001188,Sun Mar 10 2024,8,CF,0,04011919,,LOW FLOW
